Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Rockaways,2000.0,0.350664433877682,,,,,,0.253584905658499,,0.223516421234308,106738.0,0.01583316157,0.399829489,0.1765163297,0.3730817516,52.0,52,3029.0,7.4,7228.0,8.4,61975.0,78.2,186.3,6.4,326.3,49.5,67.0,19.6,44.0,65.8,53.5,32.8,38.2,71.0,5.5,7.0,6.2,4.0,3.8,7.8,254898.465753425,204668.473972603,,,,0.677553315741662,0.8160660985421979,8.0,27.999999999999996,7.7,,15.4,56.099999999999994,45.699999999999996,55.0,7274.133560239109,493.0671139136179,14.467808362249217,1235.0,60.0,9073.0,615.0,64780.0,124729.6,0.0,85.0,305.0,2055.0,
North Shore,2000.0,0.51947440058575,,,,,,0.247328244273376,,0.15730209782123,162609.0,0.05224803055,0.2164025361,0.197971822,0.4997509363,53.0,53,3575.0,5.9,7205.0,5.5,98058.0,85.1,212.2,10.4,349.3,38.4,96.8,23.8,54.4,71.3,61.6,52.6,55.8,108.4,6.0,7.3,6.7,5.6,6.0,11.6,269742.552876712,176929.523287671,,,,0.12680297742224397,0.6549093492293909,27.999999999999996,25.999999999999996,6.499999999999999,8.8,29.3,70.8,38.4,40.5,8034.9098911779665,246.86997554033488,14.852986531067808,4080.0,460.0,8625.0,265.0,59231.0,107344.07,60.0,212.0,508.0,1940.0,
Mid-Island,2000.0,0.644588291703258,,,,,,0.238414096915221,,0.0907878123725823,128177.0,0.0880501182,0.024949874,0.09678803529,0.7705360556,54.0,54,2183.0,4.6,6194.0,5.8,85468.0,88.5,247.0,7.6,350.8,47.7,98.0,21.8,55.1,84.0,67.5,55.8,63.0,118.8,5.0,7.3,6.1,4.4,5.0,9.4,334335.32350137,202419.369863014,,,,0.243204752604167,0.568644205729167,7.000000000000001,14.999999999999998,2.4,,16.100000000000005,36.6,28.000000000000004,34.8,8589.422355526536,323.80758804590215,15.861834701778657,4268.0,1020.0,19762.0,745.0,126325.0,230073.74,0.0,96.0,184.0,1352.0,
South Shore,2000.0,0.759148119577731,,,,,,0.242399999999179,,0.0490126335480454,152942.0,0.03271828536,0.008611107479,0.05853199252,0.8911025094,55.0,55,1086.0,1.9,6227.0,4.8,107940.0,92.5,255.7,9.8,368.7,49.8,110.0,29.4,59.5,73.6,65.3,63.2,61.2,124.4,7.4,8.4,7.8,6.8,6.6,13.4,341863.82465753396,188549.894520548,,,,0.28378021833053,0.579103591570199,4.0,13.0,1.6000000000000003,,15.200000000000001,15.3,26.4,29.299999999999997,8248.681680983102,133.35343192177282,15.749107795779556,6084.0,648.0,11443.0,185.0,73402.0,138725.19,0.0,104.0,96.0,1320.0,
Greenwich Village/Financial District,2000.0,0.258665498611663,,,,,,0.231718309858479,,0.0994624570475935,125567.0,0.1454681564,0.0305494278,0.05851855981,0.7362125399,29.0,29,4429.0,5.7,3156.0,2.3,117469.0,96.0,241.7,5.6,376.7,58.6,75.0,29.4,50.2,45.9,48.0,37.2,28.6,65.8,4.9,8.5,6.7,3.8,5.0,8.8,,959664.2630418183,,,,1.0,0.9909929433742093,6.500443125175565,5.00088625035113,1.2,,,,11.247031061323707,7.199999999999999,3141.033478918721,63.23346765028133,4.9587486310423525,18.0,6265.0,5166.0,104.0,103863.0,164468.2,0.0,0.0,196.0,635.0,
Lower East Side/Chinatown,2000.0,0.120215989544704,,,,,,0.266249999996944,,0.284300754679862,166379.0,0.3484454168,0.07459475054,0.2699319025,0.2805402124,30.0,30,4935.0,6.8,10730.0,7.7,92228.0,74.4,138.1,4.0,244.0,51.6,74.6,27.4,39.0,67.7,50.8,44.8,57.0,101.8,5.2,6.3,5.7,4.8,4.6,9.4,1087066.98630137,279521.6575452049,,,,0.85508916048888,0.997908735724304,17.999999999999996,16.0,4.7,8.499999999999998,9.699999999999998,30.299999999999997,16.699999999999996,17.8,3799.992696695458,159.08723154039373,6.948651658242251,4.0,272.0,7954.0,333.0,118113.0,209316.22000000003,64.0,68.0,236.0,920.0,
Morningside Heights/Hamilton Heights,2000.0,0.109350502748384,,,,,,0.268623853207828,,0.301457789380947,129533.0,0.05204851273,0.2910995654,0.4265399551,0.2026510619,35.0,35,2906.0,6.2,5858.0,5.3,70643.0,79.4,199.9,5.2,305.7,40.3,60.8,16.8,40.8,53.1,45.3,30.2,25.4,55.6,3.3,8.0,5.2,2.0,3.8,5.8,367353.671232877,,,,,1.0,0.99964801126364,11.0,27.0,6.6,9.6,9.9,45.7,18.8,16.6,5033.59,243.97,10.89,6.0,0.0,2971.0,144.0,27907.0,59023.53,11.0,12.0,54.0,124.0,
Central Harlem,2000.0,0.0658016482684616,,,,,,0.266666666666424,,0.364278824748908,109091.0,0.008359993033,0.7725568562,0.1682173598,0.02067081611,36.0,36,3496.0,6.2,6941.0,6.3,78574.0,81.6,214.3,6.6,373.7,46.4,68.4,22.0,60.2,85.0,68.7,40.4,36.2,76.6,2.6,4.1,3.3,1.6,2.4,4.0,487305.8904109591,251723.480452055,,,,1.0,0.966881770763675,11.0,28.000000000000004,13.000000000000002,,16.700000000000003,81.0,37.400000000000006,33.70000000000001,4013.5918716940796,185.02994820328036,8.124137990164837,9.0,60.0,5271.0,243.0,65675.0,131328.78,0.0,57.0,291.0,816.0,
East Harlem,2000.0,0.0629264952412996,,,,,,0.267469879516284,,0.371074987451721,115433.0,0.02733187217,0.3487044433,0.5284017569,0.07347119108,37.0,37,3812.0,7.7,7268.0,7.4,63957.0,74.3,194.7,6.2,306.2,39.1,63.0,16.0,49.3,84.8,62.5,37.0,40.4,77.4,3.2,6.3,4.6,2.2,3.6,5.8,544283.194520548,599761.095890411,,,,0.9754544484365552,0.9998221336843232,17.0,29.000000000000004,11.400000000000002,,30.500000000000004,82.4,37.9,38.2,5110.5448559978695,334.6504336560176,10.108640243720538,5.0,115.0,12660.0,829.0,128497.0,247723.07,0.0,180.0,535.0,1625.0,
Washington Heights/Inwood,2000.0,0.0645686919060608,,,,,,0.260869565216126,,0.297576787295839,208414.0,0.02043048931,0.08387152494,0.7409003234,0.1355091309,38.0,38,9685.0,12.8,11406.0,6.3,113359.0,70.7,220.8,10.6,276.1,41.1,98.0,28.8,31.7,44.5,36.1,40.8,35.2,76.0,6.1,7.1,6.5,6.8,6.4,13.2,194922.35616438402,152349.06447397303,,,,1.0,0.9843946261809841,13.0,18.000000000000004,4.699999999999999,6.5,12.900000000000002,31.800000000000004,17.3,17.0,5548.6526576178385,253.2373093277237,11.610758914811361,5.0,40.0,13037.0,595.0,113188.0,234957.86,60.0,130.0,335.0,1180.0,
Mott Haven/Hunts Point,2000.0,0.0744206029066845,,,,,,0.278571428571013,,0.455342716875748,130448.0,0.004415552557,0.2445112229,0.7246105728,0.01296301975,1.0,1,6346.0,12.5,8488.0,7.9,56689.0,59.5,159.7,8.2,257.8,29.2,49.2,14.8,39.1,60.8,47.5,27.8,30.4,58.2,4.9,4.7,5.4,3.4,3.6,7.0,203103.88724135718,133347.56552113136,,,,0.993433293463761,0.9977053224109182,23.80534551474445,32.19465448525555,13.399999999999999,,29.140685780858437,159.12138205897782,61.76733249125824,59.13282923538668,6580.049747505624,316.386944868301,12.990859573724332,116.0,13.0,32964.0,1585.0,256389.0,500968.78,126.0,320.0,1795.0,3952.0,
Morrisania/Belmont,2000.0,0.0851892734235662,,,,,,0.29195876288577,,0.455184779650153,141685.0,0.008088365035,0.3445177683,0.5730317253,0.05426121325,2.0,2,7995.0,13.9,9248.0,7.5,65281.0,64.2,196.7,11.2,272.5,38.9,53.8,22.0,46.8,80.7,59.4,34.2,37.8,72.0,4.1,6.0,4.5,3.4,3.6,7.0,250821.40074256263,,,,,0.5362485351150315,0.9969717337056196,33.5960541470271,36.36963965685687,12.4,,31.6463981696176,108.86329365099496,48.55325940884081,45.427187340212186,6063.29011463713,236.74032231163702,13.451024679407716,142.0,0.0,44820.0,1750.0,338068.0,739202.9099999999,0.0,251.0,958.0,2281.0,
Highbridge/South Concourse,2000.0,0.0690286551307508,,,,,,0.287999999996828,,0.399540368165617,132445.0,0.01227679414,0.365366756,0.5815168561,0.01470044169,3.0,3,8174.0,16.7,7197.0,6.9,57777.0,65.3,201.7,9.2,282.1,39.7,52.4,19.4,36.0,73.6,55.6,29.2,34.0,63.2,5.2,3.9,4.5,3.8,2.2,6.0,194922.356164384,,,,,0.962980191495135,0.994301662984068,18.0,30.999999999999996,9.3,7.6,19.0,83.9,42.3,39.7,7165.039999999999,249.96,14.509999999999998,12.0,0.0,5389.0,188.0,37603.0,75212.41,12.0,29.0,133.0,383.0,
University Heights/Fordham,2000.0,0.0477823829255613,,,,,,0.314285714284779,,0.406337921642262,133890.0,0.01550526552,0.324990664,0.6165284935,0.01437000523,4.0,4,8008.0,17.7,6390.0,6.4,54483.0,65.7,195.1,8.8,270.9,36.0,45.0,17.6,42.2,56.5,46.6,23.0,19.6,42.6,2.9,5.6,4.1,2.0,3.0,5.0,267793.329315068,,,,,0.9827891406838781,0.993445151339888,20.000000000000004,30.000000000000004,11.700000000000001,8.700000000000001,19.9,69.00000000000001,51.300000000000004,42.800000000000004,7094.431520621994,270.9486267053037,14.873699269833619,24.0,0.0,11102.0,424.0,76159.0,156488.99,24.0,54.0,196.0,702.0,
Kingsbridge Heights/Mosholu,2000.0,0.073792813336695,,,,,,0.295958549220813,,0.343183100550959,132672.0,0.06588428606,0.1919998191,0.5972473468,0.1076715509,5.0,5,7924.0,17.6,5625.0,5.8,57645.0,68.6,213.3,8.2,281.4,34.1,47.0,15.4,36.0,60.2,45.5,21.4,24.6,46.0,4.5,5.1,4.8,3.0,3.0,6.0,284886.520547945,,,,,0.995222489832985,0.898369329174399,18.0,28.999999999999996,6.9,7.6,16.4,66.1,31.4,27.5,6725.549999999999,343.92,13.64,25.0,0.0,6864.0,351.0,51242.0,102058.58,11.0,24.0,103.0,257.0,
Riverdale/Kingsbridge,2000.0,0.263815049303957,,,,,,0.237804878048337,,0.186511580450315,113003.0,0.04910489102,0.1389963098,0.3824323248,0.4032105342,6.0,6,3959.0,9.3,4720.0,5.6,63317.0,82.2,203.9,5.0,338.4,46.9,76.2,17.4,40.3,51.0,44.0,35.6,30.6,66.2,5.9,4.7,5.2,3.8,2.6,6.4,521792.1534246581,337365.616438356,,,,0.631724045185584,0.943361126053434,10.0,19.0,2.5,,,19.900000000000002,17.1,20.9,6322.833724409953,375.99306813313734,11.695515126787724,110.0,38.0,5768.0,343.0,51881.0,91224.92,0.0,0.0,42.0,304.0,
Soundview/Parkchester,2000.0,0.20154575964807,,,,,,0.263999999999214,,0.286321503852378,175432.0,0.03895526472,0.3214065849,0.5520771581,0.04865132929,7.0,7,7118.0,11.0,10778.0,7.5,88254.0,71.2,193.1,10.4,280.0,33.2,80.6,21.6,38.0,57.3,45.7,37.8,39.0,76.8,5.2,6.3,5.6,5.2,4.8,10.0,281138.01369863,50979.69315068489,,,,0.701497037386608,0.8925593833569289,12.999999999999998,28.999999999999996,6.7,5.4,11.9,54.5,34.6,34.1,6677.176696116215,302.1505023925233,14.040931482472176,124.0,516.0,8486.0,384.0,61256.0,127089.67000000001,20.0,44.0,204.0,816.0,
Throgs Neck/Co-op City,2000.0,0.454988044202764,,,,,,0.21486573576658,,0.101251976320782,111661.0,0.01696205479,0.2397345537,0.2340835207,0.4885412096,8.0,8,2492.0,5.2,7852.0,8.1,73158.0,83.7,299.2,7.6,320.3,47.1,86.8,19.6,45.8,69.1,54.7,48.0,47.6,95.6,5.6,6.6,6.1,4.8,3.8,8.6,329868.602739726,284886.520547945,,,,0.272116864171379,0.750624487919906,7.0,21.0,2.2000000000000006,,13.300000000000002,32.9,21.600000000000005,27.60000000000001,7181.703101460084,327.4872617408994,13.567528469347845,780.0,72.0,10000.0,456.0,74579.0,139242.74,0.0,64.0,148.0,964.0,
Pelham Parkway,2000.0,0.277590040015639,,,,,,0.264782608694077,,0.175023684736516,119960.0,0.0636462154,0.1918056019,0.3467822608,0.3590863621,9.0,9,4685.0,10.5,6867.0,7.0,68237.0,76.8,297.0,9.6,310.8,40.1,68.2,17.4,38.2,60.2,47.0,32.2,35.8,68.0,4.5,6.1,5.3,3.4,3.8,7.2,333842.02,112455.205479452,,,,0.858007148716747,0.743979257002227,17.0,22.0,4.0,,23.4,55.1,31.8,34.4,6511.25,268.2,13.33,164.0,25.0,4904.0,202.0,37068.0,75315.82,0.0,28.0,65.0,273.0,
Williamsbridge/Baychester,2000.0,0.359197241548827,,,,,,0.273551020407467,,0.194373742155221,136494.0,0.01889460343,0.6642196727,0.1756853781,0.1010007766,10.0,10,4478.0,9.2,7040.0,6.2,78224.0,80.0,206.9,8.2,302.1,40.9,71.0,22.0,34.1,48.9,40.0,29.4,28.6,58.0,3.4,7.1,4.9,2.6,4.2,6.8,277389.5068493151,,,,,0.747298754959139,0.45816041099146204,8.0,30.0,5.9,7.200000000000001,22.3,69.0,27.599999999999998,28.9,6568.762117899796,373.7770752544459,13.94646031858398,555.0,0.0,10439.0,594.0,76723.0,158918.85,33.0,105.0,321.0,894.0,
Williamsburg/Greenpoint,2000.0,0.145050852886925,,,,,,0.272727272724296,,0.337663439109747,142098.0,0.03907866402,0.04025390927,0.3410181706,0.5247645991,11.0,11,5580.0,8.7,5364.0,4.2,95227.0,83.7,215.0,8.0,257.4,45.6,47.2,19.8,35.9,47.6,40.7,24.6,23.4,48.0,3.7,5.1,4.4,3.0,3.4,6.4,354608.747945206,397842.5265424661,,,,0.922287834511525,0.8904099622897751,25.0,19.0,2.8,6.6000000000000005,16.3,21.600000000000005,20.2,14.600000000000001,4639.633390082759,163.02641544672804,8.68941963478366,36.0,216.0,10416.0,366.0,122458.0,224500.36,39.0,81.0,138.0,582.0,
Brooklyn Heights/Fort Greene,2000.0,0.263494000406354,,,,,,0.237773052385819,,0.245056286450563,115106.0,0.04228276545,0.4175716296,0.1925008253,0.3109481695,12.0,12,3551.0,6.1,5358.0,4.7,91088.0,89.5,210.5,5.0,339.6,54.8,58.2,24.8,43.8,49.0,45.9,28.2,22.2,50.4,3.3,6.5,4.8,2.6,3.4,6.0,884647.616438356,329868.602739726,,,,0.9435549313358301,0.9736579275905121,12.0,20.0,4.7,8.9,10.600000000000001,32.3,21.8,17.0,3173.9473905983796,192.70762540025294,5.279956340683055,60.0,126.0,4974.0,302.0,96582.0,156713.4,33.0,39.0,117.0,456.0,
Bedford Stuyvesant,2000.0,0.191571689882039,,,,,,0.292537313431239,,0.359182512049301,121054.0,0.008392948601,0.7490789235,0.1895682918,0.02444363672,13.0,13,4417.0,8.5,5014.0,4.7,74790.0,80.7,161.0,7.0,310.6,49.2,55.6,23.6,42.0,70.4,53.0,27.0,30.4,57.4,4.3,4.2,4.1,3.4,2.2,5.2,302879.353424658,258467.044273973,,,,0.8767133404230177,0.9419384379061799,57.0,30.999999999999996,11.299999999999999,9.6,8.899999999999999,65.2,31.3,29.400000000000002,3601.317483274386,146.77277968676614,7.202087970018499,76.0,16.0,3607.0,147.0,50523.0,100157.76000000001,30.0,26.0,206.0,588.0,
Bushwick,2000.0,0.137435641918273,,,,,,0.315999999998894,,0.381607124643779,120710.0,0.02783530776,0.23430536,0.6780631265,0.03135614282,14.0,14,5335.0,11.6,4743.0,4.4,61859.0,69.3,176.9,6.4,261.8,42.0,39.4,17.6,37.4,69.4,49.0,20.8,25.8,46.6,2.3,5.2,3.8,1.4,3.0,4.4,253848.88383561597,,,,,0.979316726690676,0.765256102440976,30.999999999999996,22.0,7.200000000000001,8.3,13.7,38.8,32.4,26.0,4560.364940051601,215.53959718735874,9.426786903903636,36.0,0.0,5903.0,279.0,63133.0,129441.32,20.0,30.0,92.0,374.0,
East New York/Starrett City,2000.0,0.234110350726041,,,,,,0.283969465646805,,0.312528911010304,146857.0,0.03939887101,0.4569547247,0.3909789796,0.0595477233,15.0,15,7798.0,14.3,8422.0,7.2,79236.0,78.6,165.5,8.2,279.3,36.7,66.4,21.0,36.4,70.7,49.5,30.4,38.8,69.2,4.3,4.2,4.1,3.6,2.6,6.2,165594.038575342,86215.65753424661,,,,0.7123246745078311,0.8535756965846912,13.000000000000002,30.000000000000004,10.200000000000001,11.8,25.7,82.60000000000001,52.60000000000001,52.80000000000001,6025.90600041411,301.664949004794,13.419422955042842,1355.0,10.0,23032.0,1153.0,174826.0,382216.31999999995,105.0,230.0,755.0,3010.0,
Park Slope/Carroll Gardens,2000.0,0.287294102719898,,,,,,0.236966824642877,,0.143914725711511,105555.0,0.04686656246,0.1120458529,0.241788641,0.5599071574,16.0,16,2458.0,5.0,3865.0,4.1,80534.0,91.5,162.5,3.6,265.5,50.0,38.4,21.8,46.5,45.0,45.6,22.8,16.8,39.6,6.0,6.0,6.1,3.2,3.0,6.2,637246.164383562,372496.62263013696,,,,0.910339346443886,0.854779683572379,12.0,10.0,2.3,,10.8,24.0,20.6,14.5,2753.2440793076703,89.72035564807804,5.014517724133418,66.0,272.0,2946.0,96.0,58890.0,107001.0,0.0,22.0,48.0,244.0,
Sunset Park,2000.0,0.25221893491107,,,,,,0.274999999997817,,0.263330324120034,139269.0,0.2178661439,0.03404921411,0.479065693,0.2303527705,17.0,17,8963.0,19.7,5259.0,4.7,60941.0,59.8,261.5,10.6,267.9,40.8,49.8,20.4,39.0,67.3,50.7,25.2,35.0,60.2,6.6,6.1,6.4,5.0,4.4,9.4,359856.6575342469,277389.506849315,,,,0.9439329930893021,0.7753412615076549,45.0,8.999999999999998,3.1,10.999999999999998,17.0,19.1,20.1,14.099999999999998,5834.326836253247,196.4195560752944,12.891469203294735,144.0,40.0,14198.0,478.0,112066.0,243352.98,60.0,76.0,104.0,516.0,
North Crown Heights/Prospect Heights,2000.0,0.160190647173295,,,,,,0.259999999998399,,0.281620971418306,123117.0,0.01542435245,0.7813055874,0.0981749068,0.07409212375,18.0,18,3084.0,5.8,4686.0,4.5,77780.0,83.8,230.2,7.0,293.7,52.0,55.8,24.8,40.9,45.7,37.5,27.4,20.0,47.4,4.0,5.7,4.8,2.8,3.0,5.8,299880.547945205,154438.482191781,,,,0.982119996586157,0.767474609541692,25.0,28.0,9.5,,23.6,69.2,40.7,36.6,4882.26,246.13,10.73,11.0,25.0,3154.0,159.0,29690.0,64601.26,0.0,22.0,70.0,253.0,
South Crown Heights,2000.0,0.149948861226221,,,,,,0.280331950205436,,0.240279958723477,112670.0,0.007721665039,0.7902991036,0.08237330256,0.0861897577,19.0,19,4004.0,9.6,3445.0,4.0,65455.0,86.0,150.7,4.2,291.0,43.4,58.0,16.8,28.5,52.4,38.7,19.8,23.0,42.8,3.2,7.3,5.1,2.2,3.8,6.0,335866.21369863,494802.904109589,,,,0.904834030755012,0.70454137036942,21.0,22.000000000000004,6.4,,16.5,62.3,19.3,19.8,4188.57,262.55,8.89,56.0,19.0,2409.0,151.0,27231.0,57513.69,0.0,16.0,62.0,135.0,
Bay Ridge,2000.0,0.335617116492358,,,,,,0.235919999999169,,0.139495248009553,119871.0,0.1358960883,0.0108700186,0.1084832862,0.6948302759,20.0,20,5025.0,10.5,5819.0,5.8,74082.0,81.1,298.7,7.8,334.6,58.5,77.8,25.2,51.5,75.9,61.3,44.6,47.6,92.2,5.6,9.0,7.4,4.0,5.6,9.6,492553.8,326884.791287671,,,,0.743662394685981,0.597920927701574,20.0,8.0,1.7,8.7,10.7,16.8,15.4,15.700000000000001,5090.76,198.48,10.1,199.0,58.0,3437.0,134.0,34453.0,67514.44,11.0,16.0,21.0,163.0,
Bensonhurst,2000.0,0.31201571537531,,,,,,0.290837438420567,,0.196500752019347,171778.0,0.2309725343,0.003964419192,0.08763636787,0.6473937291,21.0,21,8615.0,13.5,10331.0,6.8,101318.0,73.7,203.5,8.4,292.9,47.4,100.6,29.4,44.3,84.3,61.8,57.8,84.6,142.4,4.7,8.4,6.5,5.4,8.0,13.4,394342.92054794496,387700.56641095894,,,,0.8651400259810877,0.4597746291652819,26.999999999999996,10.999999999999998,1.7,5.299999999999999,12.299999999999997,17.099999999999998,15.399999999999999,16.7,6221.143202910177,237.87468515550373,14.394869265698054,500.0,132.0,18438.0,705.0,129314.0,296376.31000000006,40.0,104.0,140.0,980.0,
Borough Park,2000.0,0.293388851467171,,,,,,0.32549999999901,,0.284524789462012,158548.0,0.1115498146,0.02782753488,0.1072230492,0.707552287,22.0,22,9295.0,20.3,7641.0,7.3,69081.0,76.9,222.7,13.8,289.0,46.5,61.2,18.4,32.1,52.4,41.5,25.8,34.2,60.0,8.2,9.4,8.7,6.4,7.4,13.8,464814.84931506886,288635.02739726,,,,0.9145287784128668,0.396467499667686,18.0,10.0,1.4999999999999998,10.099999999999998,22.9,22.699999999999996,13.2,12.5,6162.90494459571,229.76863483352017,13.026279396837305,244.0,124.0,10112.0,377.0,78875.0,164078.45,38.0,80.0,84.0,284.0,
Coney Island,2000.0,0.233030361630881,,,,,,0.294999999998254,,0.284980250969966,116138.0,0.09594620193,0.1444144036,0.1560471164,0.5711136751,23.0,23,4394.0,9.6,11829.0,13.1,68009.0,81.8,244.0,6.0,325.3,51.1,95.8,18.2,37.0,76.0,53.0,43.2,61.4,104.6,4.7,10.6,7.3,3.8,6.6,10.4,242924.23547397304,202419.36986301397,,,,0.729082973225337,0.850035829840829,21.0,25.0,4.1,,15.1,51.5,26.2,35.6,6710.49,540.3,14.64,98.0,32.0,3105.0,250.0,21937.0,46270.81,0.0,17.0,54.0,280.0,
Flatbush,2000.0,0.203902953586294,,,,,,0.27161059647915,,0.22752470328669,166315.0,0.0796199982,0.37448817,0.1292727655,0.375564441,24.0,24,7947.0,13.8,7892.0,6.5,88044.0,82.6,207.8,9.2,308.1,38.9,85.0,20.6,31.5,45.5,36.9,30.8,31.0,61.8,4.1,7.4,5.6,3.8,5.8,9.6,554779.01369863,155563.034246575,,,,0.9465829270308241,0.297115940831336,21.0,17.0,3.8,8.9,16.1,32.2,17.8,18.800000000000004,6434.022510203133,328.5977235677937,12.927042643293921,366.0,20.0,11983.0,612.0,92278.0,186244.29,28.0,54.0,106.0,414.0,
Sheepshead Bay/Gravesend,2000.0,0.415617172580824,,,,,,0.278961038959096,,0.167993200948331,149351.0,0.123065798,0.0314627957,0.06303272157,0.7579259596,25.0,25,5336.0,9.4,9125.0,7.6,91550.0,84.7,229.2,8.0,326.8,51.9,100.6,24.6,49.6,70.7,58.1,56.8,62.6,119.4,7.0,10.0,8.4,6.6,8.6,15.2,402589.635616438,334507.005115069,,,,0.58082788671024,0.6561002178649241,25.0,13.999999999999998,1.8999999999999997,10.2,13.2,14.399999999999999,17.000000000000004,21.0,6943.7089255563105,325.2370825291851,14.825924488909198,768.0,120.0,11230.0,526.0,76909.0,161729.09,32.0,54.0,48.0,518.0,
Chelsea/Clinton/Midtown,2005.0,0.205542996798613,0.0,0.0326530612244898,89461.0,158180.0,74650.0,0.264999999999418,,0.115825042199504,133175.0,0.1244077342,0.0561216445,0.1538501971,0.6464877041,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,960621.1663861722,,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,0.0,71978.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
Stuyvesant Town/Turtle Bay,2005.0,0.304198105397518,0.0,0.0,97884.0,151810.0,89750.0,0.250999999996566,,0.0577019053998811,146269.0,0.1439060908,0.0295688082,0.0671570873,0.743445296,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,5620447.196756,1048506.8876351699,,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,30.0,2925.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
Upper West Side,2005.0,0.331128311099746,0.0,0.0338983050847458,115988.0,222620.0,72730.0,0.243999999998778,,0.0931970603996888,208708.0,0.0658671445,0.0701602239,0.1291181938,0.7085114131,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,5789301.83356841,1125697.57874941,,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,18.0,7098.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
